source_provider_name,source_health_system,source_geography,source_service_line,source_market,source_period,source_volume,payer_type,data_source,source_file
Luminis Hlth,Luminis Health,Maryland,Psych,Virginia Demo Market,Q4 2021,229,,mock_source_v2,provider_volume_2019_2023.csv
Loudoun Hospital,Inova Health System,Northern Virginia,Emerg Svcs,Virginia Demo Market,2023 Q4,1070,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Luminis Health,Luminis Health,Maryland,orthopaedics,Virginia Demo Market,2020-Q4,479,Unknown,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,ED,Virginia Demo Market,Jul-Sep 2019,100,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
U.V.A. Health,UVA Health,Charlottesville,BH,Virginia Demo Market,2020-Q2,184,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
privia health,Privia Health Group,Northern Virginia,Behavioral Health,Virginia Demo Market,Q1-2021,353,Unknown,mock_source_v2,provider_volume_2019_2023.csv
uva health,UVA Health,Charlottesville,CARDIOLOGY,Virginia Demo Market,2023-Q3,926,All Payer,mock_source_v2,provider_volume_2019_2023.csv
inova loudoun,Inova Health System,Northern Virginia,OB/GYN,Virginia Demo Market,Oct-Dec 2019,815,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
Inova Loudoun,Inova Health System,Northern Virginia,Heart Services,Virginia Demo Market,Jul-Sep 2019,553,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NovantHlth,,Northern Virginia,CARDIOLOGY,Virginia Demo Market,Oct-Dec 2019,773,Unknown,mock_source_v2,provider_volume_2019_2023.csv
BSMH,Bon Secours Mercy Health,Richmond,Neuro,Virginia Demo Market,Q3/2021,389,Medicare,mock_source_v2,provider_volume_2019_2023.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,ONCOLOGY,Virginia Demo Market,Apr-Jun 2020,568,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
UVA Healthcare,UVA Health,Charlottesville,ORTHOPEDICS,Virginia Demo Market,Q4/2021,820,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
privia health,Privia Health Group,Northern Virginia,onc.,Virginia Demo Market,Q2 2021,172,Commercial,mock_source_v2,provider_volume_2019_2023.csv
MEDSTAR HEALTH,MedStar Health,DC Metro,MSK,Virginia Demo Market,2019-Q1,963,All Payer,mock_source_v2,provider_volume_2019_2023.csv
bon secours,Bon Secours Mercy Health,Richmond,gi services,Virginia Demo Market,Q4/2023,456,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
CARILION,Carilion Clinic,Roanoke,GASTROENTEROLOGY,Virginia Demo Market,Q3/2022,426,All Payer,mock_source_v2,provider_volume_2019_2023.csv
HCA Healthcare VA,HCA Healthcare,Richmond,EMERGENCY,Virginia Demo Market,2021-Q2,2121,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Luminis Hlth,Luminis Health,Maryland,Orthopedic,Virginia Demo Market,Q1-2022,564,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
HCA Healthcare VA,HCA Healthcare,Richmond,Orthopedics,Virginia Demo Market,Oct-Dec 2023,1317,Unknown,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA,Privia Health Group,Northern Virginia,NEURO,Virginia Demo Market,Q1 2020,209,Medicaid,mock_source_v2,vol_export_final.csv
hca virginia,HCA Healthcare,Richmond,Emerg Svcs,Virginia Demo Market,Q1 2022,2447,Medicare,mock_source_v2,provider_volume_2019_2023.csv
VCU,VCU Health System,Richmond,ORTHO,Virginia Demo Market,Q2-2020,503,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
HCA Virginia,HCA Healthcare,Richmond,Neurological Svcs,Virginia Demo Market,Oct-Dec 2021,535,All Payer,mock_source_v2,vol_export_final.csv
Sentara Health,Sentara Healthcare,Hampton Roads,WOMENS HEALTH,Virginia Demo Market,Q3/2021,1645,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,Womens Health,Virginia Demo Market,Q2 2023,1400,Medicare,mock_source_v2,vol_export_final.csv
privia health,Privia Health Group,Northern Virginia,Cardiology,Virginia Demo Market,Q4 2021,534,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
V.C.U. Health,VCU Health System,Richmond,Emerg Svcs,Virginia Demo Market,Q4-2023,1929,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
Luminis,Luminis Health,Maryland,BEHAVIORAL HEALTH,Virginia Demo Market,Q3-2023,229,Medicare,mock_source_v2,vol_export_final.csv
HCA Healthcare VA,HCA Healthcare,Richmond,cardiac services,Virginia Demo Market,Q1 2022,1255,All Payer,mock_source_v2,vol_export_final.csv
LUMINIS HEALTH,Luminis Health,Maryland,Neurological Svcs,Virginia Demo Market,Apr-Jun 2021,341,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Luminis Health,Luminis Health,Maryland,ONC,Virginia Demo Market,Oct-Dec 2023,422,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
Luminis,,Maryland,NEURO,National,2021 Q3,349,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
V.C.U. Health,VCU Health System,Richmond,Cardiac,Virginia Demo Market,Oct-Dec 2021,1234,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
MedStar Health,MedStar Health,DC Metro,Psych,Virginia Demo Market,Q2 2022,605,Unknown,mock_source_v2,provider_volume_2019_2023.csv
NOVANT,Novant Health,Northern Virginia,Cardiac,Virginia Demo Market,Q3/2023,789,All Payer,mock_source_v2,provider_volume_2019_2023.csv
sentara hlth,Sentara Healthcare,Hampton Roads,ONCOLOGY,Virginia Demo Market,2022-Q2,843,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
Med Star,MedStar Health,DC Metro,ORTHO,Virginia Demo Market,2022-Q2,1312,Medicaid,mock_source_v2,vol_export_final.csv
HCA Virginia,,Richmond,gastro,Virginia Demo Market,2019-Q4,562,All Payer,mock_source_v2,provider_volume_2019_2023.csv
InOva,Inova Health System,Northern Virginia,OB/GYN,Virginia Demo Market,Q1-2021,1815,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
novant health,Novant Health,Northern Virginia,ER Services,Virginia Demo Market,Apr-Jun 2019,872,,mock_source_v2,vol_export_final.csv
PRIVIA,Privia Health Group,Northern Virginia,Cancer Services,Virginia Demo Market,Q4 2020,142,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Luminis Hlth,Luminis Health,Maryland,Behavioral Health,Virginia Demo Market,2023 Q1,226,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
sentara hlth,Sentara Healthcare,Hampton Roads,NEUROLOGY,Virginia Demo Market,Q4 2020,696,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Luminis Hlth,Luminis Health,Maryland,Orthopedics,Virginia Demo Market,Q3/2021,662,Commercial,mock_source_v2,provider_volume_2019_2023.csv
LUMINIS HEALTH,Luminis Health,Maryland,Womens Health,Virginia Demo Market,2023 Q3,755,Medicare,mock_source_v2,vol_export_final.csv
Inova Fairfax,Inova Health System,Northern Virginia,NEUROLOGY,Virginia Demo Market,2022 Q3,1158,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
privia health,Privia Health Group,Northern Virginia,E.D.,Virginia Demo Market,Q4/2020,98,Commercial,mock_source_v2,vol_export_final.csv
Privia,Privia Health Group,Northern Virginia,NEUROLOGY,Virginia Demo Market,2020 Q4,195,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,oncology,Virginia Demo Market,2021-Q2,389 cases,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
NovantHlth,Novant Health,Northern Virginia,Cardiac,Virginia Demo Market,Q4 2022,908,,mock_source_v2,vol_export_final.csv
UVA,,Charlottesville,Cancer Services,Virginia Demo Market,Q1 2023,1305,Medicaid,mock_source_v2,vol_export_final.csv
Luminis,Luminis Health,Maryland,Ob-Gyn,Virginia Demo Market,Q2/2019,721,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Inova Health,Inova Health System,Northern Virginia,orthopaedics,Virginia Demo Market,Jan-Mar 2023,2145,Commercial,mock_source_v2,vol_export_final.csv
Privia,Privia Health Group,Northern Virginia,BH,Virginia Demo Market,Q1-2020,300,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
HCA VIRGINIA,HCA Healthcare,Richmond,gastro,Virginia Demo Market,Q2-2019,571,All Payer,mock_source_v2,provider_volume_2019_2023.csv
novant health,Novant Health,Northern Virginia,ortho,Virginia Demo Market,Q3 2022,1001,Unknown,mock_source_v2,provider_volume_2019_2023.csv
INOVA HEALTH SYSTEM,Inova Health System,Northern Virginia,Womens Health,Virginia Demo Market,Q2 2019,1903,Commercial,mock_source_v2,provider_volume_2019_2023.csv
U.V.A. Health,UVA Health,Charlottesville,WOMENS HEALTH,Virginia Demo Market,2021 Q3,938,,mock_source_v2,vol_export_FINAL_v2.csv
Novant,Novant Health,Northern Virginia,orthopaedics,Virginia Demo Market,Q4/2022,843,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
CARILION CLINIC,Carilion Clinic,Roanoke,Musculoskeletal,Virginia Demo Market,2019-Q4,637,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
UVA Health,UVA Health,Charlottesville,BEHAVIORAL HEALTH,Virginia Demo Market,Q4/2023,478,All Payer,mock_source_v2,provider_volume_2019_2023.csv
sentara,Sentara Healthcare,Hampton Roads,ORTHOPEDICS,Virginia Demo Market,Q2/2023,1763,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
NovantHlth,Novant Health,Northern Virginia,Gastroenterology,Virginia Demo Market,Jul-Sep 2021,316,Medicare,mock_source_v2,vol_export_final.csv
sentara,Sentara Healthcare,Hampton Roads,OB/GYN,Virginia Demo Market,Q1/2023,1669,,mock_source_v2,vol_export_final.csv
MedStar,MedStar Health,DC Metro,Neurology,Virginia Demo Market,Apr-Jun 2021,818,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT HEALTH,Novant Health,Northern Virginia,Orthopedic,Virginia Demo Market,Oct-Dec 2023,875,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Virginia Commonwealth,VCU Health System,Richmond,behavioral health,Virginia Demo Market,2023-Q4,1270,All Payer,mock_source_v2,vol_export_final.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,behavioral health,Virginia Demo Market,Jul-Sep 2019,209,,mock_source_v2,provider_volume_2019_2023.csv
Carilion Clinic,Carilion Clinic,Roanoke,card.,Virginia Demo Market,Oct-Dec 2019,859,All Payer,mock_source_v2,vol_export_final.csv
Virginia Commonwealth,VCU Health System,Richmond,onc.,Virginia Demo Market,Q3/2019,2864,Unknown,mock_source_v2,vol_export_final.csv
inova,Inova Health System,Northern Virginia,Neuro,Virginia Demo Market,Jul-Sep 2021,1127,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
Inova Loudoun,Inova Health System,Northern Virginia,Women,Virginia Demo Market,2020-Q2,379,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Inova Health,Inova Health System,Northern Virginia,G.I.,Virginia Demo Market,2019-Q2,952,Medicare,mock_source_v2,vol_export_final.csv
hca virginia,HCA Healthcare,Richmond,OB/GYN,Virginia Demo Market,2023 Q2,1031,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Luminis Hlth,Luminis Health,Maryland,Cardiology,Virginia Demo Market,Oct-Dec 2021,727,Medicare,mock_source_v2,vol_export_final.csv
Carilion,Carilion Clinic,Roanoke,womens hlth,Virginia Demo Market,2019 Q1,706,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
CARILION CLINIC,Carilion Clinic,Roanoke,Psychiatry,Virginia Demo Market,2019-Q2,365,Unknown,mock_source_v2,vol_export_final.csv
HCA,HCA Healthcare,Richmond,BEHAVIORAL HEALTH,Virginia Demo Market,Q4-2021,341.0,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
medstar health,MedStar Health,DC Metro,NEUROLOGY,Virginia Demo Market,Q3/2021,866,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
carilion clinic,Carilion Clinic,Roanoke,NEURO,Virginia Demo Market,Apr-Jun 2023,731,All Payer,mock_source_v2,vol_export_final.csv
Med Star,MedStar Health,DC Metro,MSK,Virginia Demo Market,Q4/2022,1102.0,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
V.C.U. Health,VCU Health System,Richmond,G.I.,Virginia Demo Market,2021-Q3,603,,mock_source_v2,provider_volume_2019_2023.csv
UVA,UVA Health,Charlottesville,Behavioral Health,Virginia Demo Market,2021-Q3,418,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
LUMINIS,Luminis Health,Maryland,gi services,Virginia Demo Market,2019-Q3,304,Medicaid,mock_source_v2,vol_export_final.csv
Inova Loudoun,Inova Health System,Northern Virginia,neurology,Virginia Demo Market,Jan-Mar 2021,315,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Carilion Health,Carilion Clinic,Roanoke,Neurology,Virginia Demo Market,2021-Q1,746,Commercial,mock_source_v2,provider_volume_2019_2023.csv
INOVA HEALTH SYSTEM,Inova Health System,Northern Virginia,Orthopedics,Virginia Demo Market,2020 Q3,2131,All Payer,mock_source_v2,vol_export_final.csv
Med Star,MedStar Health,DC Metro,GASTROENTEROLOGY,Virginia Demo Market,Q4 2022,653,Commercial,mock_source_v2,vol_export_final.csv
MEDSTAR HEALTH,MedStar Health,DC Metro,onc.,Virginia Demo Market,Jan-Mar 2019,932,Unknown,mock_source_v2,provider_volume_2019_2023.csv
bon secours,Bon Secours Mercy Health,Richmond,gi services,Virginia Demo Market,Q4/2023,456,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Med Star,MedStar Health,DC Metro,Mental Health,Virginia Demo Market,Jan-Mar 2021,536,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun,Inova Health System,Northern Virginia,GI,Virginia Demo Market,Apr-Jun 2023,284,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
Carilion Health,Carilion Clinic,Roanoke,NEURO,Virginia Demo Market,2023 Q4,783,Medicare,mock_source_v2,provider_volume_2019_2023.csv
LUMINIS HEALTH,Luminis Health,Maryland,Oncology,Virginia Demo Market,Q4 2019,392,Medicare,mock_source_v2,vol_export_final.csv
Inova,Inova Health System,Northern Virginia,oncology,Virginia Demo Market,2021-Q3,1380,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
uva health,UVA Health,Charlottesville,cardiac services,Virginia Demo Market,Q4/2019,1074,Commercial,mock_source_v2,vol_export_final.csv
MedStar,MedStar Health,DC Metro,ORTHOPEDICS,Virginia Demo Market,2022-Q1,"1,101",Commercial,mock_source_v2,provider_volume_2019_2023.csv
UVA,UVA Health,Charlottesville,behav hlth,Virginia Demo Market,Q4/2022,457,All Payer,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,Neurological Svcs,Virginia Demo Market,Q2/2023,254,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Virginia Commonwealth,VCU Health System,Richmond,ER Services,Virginia Demo Market,Oct-Dec 2020,1562,,mock_source_v2,vol_export_final.csv
MedStar,MedStar Health,DC Metro,ORTHOPEDICS,Virginia Demo Market,Q3-2022,1280,Medicare,mock_source_v2,vol_export_final.csv
novant health,Novant Health,Northern Virginia,Gastroenterology,Virginia Demo Market,Q4/2020,268,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
MedStar,MedStar Health,DC Metro,Emerg Svcs,Virginia Demo Market,Q3 2019,1689,Medicare,mock_source_v2,provider_volume_2019_2023.csv
HCA,HCA Healthcare,Richmond,Neuro,Virginia Demo Market,Q1/2019,524,Medicare,mock_source_v2,vol_export_final.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,cancer,Virginia Demo Market,2022 Q1,1325,,mock_source_v2,vol_export_final.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,card.,,2023 Q4,1094,All Payer,mock_source_v2,vol_export_final.csv
Novant Health,Novant Health,Northern Virginia,orthopaedics,Virginia Demo Market,Q1 2020,713,,mock_source_v2,vol_export_FINAL_v2.csv
V.C.U. Health,VCU Health System,Richmond,NEURO,Virginia Demo Market,Q1/2019,1392,All Payer,mock_source_v2,vol_export_final.csv
Med Star,MedStar Health,DC Metro,OB/GYN,Virginia Demo Market,2021 Q3,1208,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
bon secours,,Richmond,gastro,Virginia Demo Market,2021 Q4,475,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Inova,Inova Health System,Northern Virginia,ONC,Virginia Demo Market,2020-Q3,1119,Medicare,mock_source_v2,provider_volume_2019_2023.csv
vcu,VCU Health System,Richmond,orthopaedics,Virginia Demo Market,Q1/2022,906,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
carilion clinic,Carilion Clinic,Roanoke,neurology,Virginia Demo Market,Q2/2019,670,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
MEDSTAR HEALTH,MedStar Health,DC Metro,Heart Services,Virginia Demo Market,Q1/2023,1587,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
Virginia Commonwealth,VCU Health System,Richmond,ORTHOPEDICS,Virginia Demo Market,2023-Q3,1116,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
Luminis,Luminis Health,Maryland,cardiac services,Virginia Demo Market,2020-Q1,658,All Payer,mock_source_v2,provider_volume_2019_2023.csv
CARILION CLINIC,Carilion Clinic,Roanoke,BEHAVIORAL HEALTH,Virginia Demo Market,Apr-Jun 2021,379,All Payer,mock_source_v2,vol_export_final.csv
CARILION CLINIC,Carilion Clinic,Roanoke,GI Services,Virginia Demo Market,Q1 2021,376,All Payer,mock_source_v2,vol_export_final.csv
LUMINIS,Luminis Health,Maryland,Orthopedic,Virginia Demo Market,Q2/2023,696,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Carilion Health,Carilion Clinic,Roanoke,Mental Health,Virginia Demo Market,Jan-Mar 2022,377,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Sentara,,Hampton Roads,Gastro,Virginia Demo Market,Q3/2023,780,All Payer,mock_source_v2,vol_export_final.csv
hca hlth va,HCA Healthcare,Richmond,Emerg Svcs,Virginia Demo Market,Q1-2023,2457,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
SENTARA HEALTH,Sentara Healthcare,Hampton Roads,ortho,Virginia Demo Market,Q4-2020,1177,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Virginia Commonwealth,VCU Health System,Richmond,cancer,Virginia Demo Market,2020-Q4,2654,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Privia Health,Privia Health Group,Northern Virginia,GASTROENTEROLOGY,Virginia Demo Market,2023 Q2,350,All Payer,mock_source_v2,vol_export_final.csv
hca virginia,HCA Healthcare,Richmond,women's health,Virginia Demo Market,Q4-2021,968,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Sentara,Sentara Healthcare,Hampton Roads,NEURO,Virginia Demo Market,2020 Q2,341.0,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
UVA Health,UVA Health,Charlottesville,MSK,Virginia Demo Market,Q3-2023,956,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Med Star,MedStar Health,DC Metro,Orthopedic,Virginia Demo Market,Q3 2020,954,Commercial,mock_source_v2,vol_export_final.csv
INOVA LOUDOUN,Inova Health System,Northern Virginia,Orthopedics,Virginia Demo Market,Q3 2020,593,,mock_source_v2,provider_volume_2019_2023.csv
Luminis Health,Luminis Health,Maryland,Emergency Services,Virginia Demo Market,Apr-Jun 2021,916,,mock_source_v2,vol_export_final.csv
uva health,UVA Health,Charlottesville,Cardiology,Virginia Demo Market,2020 Q3,707,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
HCA VIRGINIA,,Richmond,Women's Health,Virginia Demo Market,Q2-2022,1020,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Luminis,Luminis Health,Maryland,GI,Virginia Demo Market,Q3-2021,323,All Payer,mock_source_v2,provider_volume_2019_2023.csv
UVA Healthcare,UVA Health,Charlottesville,Mental Health,,Q1 2019,387,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
Loudoun Hospital,Inova Health System,Northern Virginia,cardiac services,Virginia Demo Market,2022 Q4,701,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Inova Health,Inova Health System,Northern Virginia,behav hlth,Virginia Demo Market,2020 Q2,293,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Luminis Health,Luminis Health,Maryland,card.,Virginia Demo Market,Q4/2020,615,Medicare,mock_source_v2,provider_volume_2019_2023.csv
BON SECOURS,,Richmond,CARDIOLOGY,Virginia Demo Market,Oct-Dec 2020,,Commercial,mock_source_v2,provider_volume_2019_2023.csv
NovantHlth,Novant Health,Northern Virginia,behavioral health,Virginia Demo Market,Q2-2020,98,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
LUMINIS,,Maryland,ER Services,Virginia Demo Market,Q1/2019,992,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
LUMINIS,Luminis Health,Maryland,orthopaedics,Virginia Demo Market,2023-Q3,658 cases,All Payer,mock_source_v2,vol_export_final.csv
Sentara Healthcare,,Hampton Roads,neurology,Virginia Demo Market,2023 Q1,833,Unknown,mock_source_v2,provider_volume_2019_2023.csv
UVA Health,UVA Health,Charlottesville,Neurology,Virginia Demo Market,Q2/2021,960,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,Cardiac,Virginia Demo Market,Q3 2021,613 cases,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
INOVA,Inova Health System,Northern Virginia,Cancer Services,Virginia Demo Market,2020-Q1,1373,,mock_source_v2,vol_export_FINAL_v2.csv
Carilion Health,Carilion Clinic,Roanoke,GI,Virginia Demo Market,Jan-Mar 2023,403,,mock_source_v2,vol_export_final.csv
MedStar Health,MedStar Health,DC Metro,WOMENS HEALTH,Virginia Demo Market,Q1/2023,1138,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
NOVANT HEALTH,Novant Health,Northern Virginia,behavioral health,Virginia Demo Market,Q3 2023,251,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT HEALTH,Novant Health,Northern Virginia,Emergency,Virginia Demo Market,Q2 2021,894,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Carilion,Carilion Clinic,Roanoke,behav hlth,Virginia Demo Market,2021 Q4,389,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT,Novant Health,Northern Virginia,CARDIOLOGY,Virginia Demo Market,Q2-2022,756,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Privia,Privia Health Group,Northern Virginia,EMERGENCY,Virginia Demo Market,2021-Q4,119,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
INOVA,,Northern Virginia,Musculoskeletal,Virginia Demo Market,Q4 2023,2182,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Sentara,Sentara Healthcare,Hampton Roads,CARD,Virginia Demo Market,Q1-2020,1496,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Luminis,Luminis Health,Maryland,womens hlth,Virginia Demo Market,2021 Q1,691,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
Privia,Privia Health Group,Northern Virginia,gi services,Virginia Demo Market,2019-Q4,262,Medicare,mock_source_v2,vol_export_final.csv
NovantHlth,Novant Health,Northern Virginia,Neurological Svcs,Virginia Demo Market,Q3-2023,404,All Payer,mock_source_v2,vol_export_final.csv
Novant Health,Novant Health,Northern Virginia,Orthopedics,Virginia Demo Market,Q2-2021,955 cases,All Payer,mock_source_v2,vol_export_final.csv
Loudoun Hospital,Inova Health System,Northern Virginia,Cardiac,Virginia Demo Market,Q2/2019,588,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
HCA Healthcare VA,HCA Healthcare,Richmond,NEURO,Virginia Demo Market,2020-Q4,453,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,Oncology,Virginia Demo Market,Q3 2022,322,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
uva health,UVA Health,Charlottesville,Neurological Svcs,Virginia Demo Market,Q2 2019,882,,mock_source_v2,provider_volume_2019_2023.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,NEUROLOGY,Virginia Demo Market,Q2/2020,185.0,All Payer,mock_source_v2,vol_export_final.csv
NOVANT,Novant Health,Northern Virginia,ortho,Virginia Demo Market,Q3/2020,701,All Payer,mock_source_v2,provider_volume_2019_2023.csv
luminis health,Luminis Health,Maryland,Cardiology,Virginia Demo Market,Q1-2023,728,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
UVA,UVA Health,Charlottesville,women's health,Virginia Demo Market,Jan-Mar 2019,861,All Payer,mock_source_v2,vol_export_final.csv
BSMH,Bon Secours Mercy Health,Richmond,behavioral health,Virginia Demo Market,Q4 2021,210,Medicare,mock_source_v2,vol_export_final.csv
inova,Inova Health System,Northern Virginia,Womens Health,Virginia Demo Market,2020-Q3,1514,,mock_source_v2,vol_export_FINAL_v2.csv
CARILION CLINIC,Carilion Clinic,Roanoke,NEURO,Virginia Demo Market,Q1-2023,779,All Payer,mock_source_v2,provider_volume_2019_2023.csv
VCU Health,VCU Health System,Richmond,NEURO,Virginia Demo Market,Q2/2022,1612,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT HEALTH,Novant Health,Northern Virginia,Gastro,Virginia Demo Market,Q2-2023,343,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
Inova,Inova Health System,Northern Virginia,Emergency,Virginia Demo Market,Q1 2019,3499,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
NovantHlth,Novant Health,Northern Virginia,neuro services,Virginia Demo Market,Q3-2020,288,All Payer,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,GI Services,Virginia Demo Market,2022 Q2,572,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT,Novant Health,Northern Virginia,gi services,Virginia Demo Market,2020 Q1,276,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
V.C.U. Health,VCU Health System,Richmond,GASTROENTEROLOGY,Virginia Demo Market,2022 Q4,591,All Payer,mock_source_v2,vol_export_final.csv
UVA Health,UVA Health,Charlottesville,GI Services,Virginia Demo Market,Apr-Jun 2019,509,Unknown,mock_source_v2,vol_export_final.csv
sentara,Sentara Healthcare,Hampton Roads,women's health,Virginia Demo Market,Q4-2022,1579,Medicare,mock_source_v2,vol_export_final.csv
U.V.A. Health,UVA Health,Charlottesville,Women,Virginia Demo Market,2023 Q2,946,,mock_source_v2,provider_volume_2019_2023.csv
Luminis Health,Luminis Health,Maryland,GI,Virginia Demo Market,2023 Q4,304,All Payer,mock_source_v2,vol_export_final.csv
Luminis Hlth,Luminis Health,Maryland,Musculoskeletal,Virginia Demo Market,Jul-Sep 2020,516,All Payer,mock_source_v2,provider_volume_2019_2023.csv
VCU Medical Center,VCU Health System,Richmond,CARD,Virginia Demo Market,Q4-2020,1032,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
UVA Health,,Charlottesville,behavioral health,Virginia Demo Market,2019-Q2,411,All Payer,mock_source_v2,vol_export_final.csv
MedStar Health,MedStar Health,DC Metro,Heart Services,Virginia Demo Market,2020-Q4,1297,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Privia Health,Privia Health Group,Northern Virginia,ORTHO,Virginia Demo Market,2023 Q4,441,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
